Name,Class,type,date_order,overnight,display,name_zh,name_tb,name_char_zh,note,lat,lon,elev
Beijing,City,stop,1,1,1,39.89465,116.31856,,,,,50
Chengdu,City,stop,2,1,1,30.6731,104.06446,,,,,511
Dartsendo,City,stop,3,1,1,30.05345,101.96302,,,,,2501
Lithang,City,stop,4,1,1,30.00179,100.26262,,,,,3981
Mount Genyen,Mountain,stop,5,1,1,29.83603,99.63275, , ,0,0,4764
Rarikawa,Village,stop,5,1,0,29.82518,99.77071,,,,,3780
Yading Nature Reserve,Nature Reserve,stop,6, ,1,28.43671,100.35352, , ,0,,3917
Bathang,City,stop,7, ,1,30.01196,99.11276,,,,,2579
Nyarong,City,stop,8, ,1,30.93849,100.31075,,,,,3056
Gandze,City,stop,9, ,1,31.62238,99.98975,,,,,3369
Derge,City,stop,10, ,1,31.80641,98.58069,,,,,3285
Dzongsar Monastery,Monastery,stop,11, ,1,31.63989,98.96273, , ,0,0,3543
Dzogchen,City,stop,12, ,1,32.11018,98.85745,,,,,
Sershul Monastery,Monastery,stop,13, ,1,32.97322,98.09934,,,,,
Jyekundo,City,stop,14, ,1,33.00728,97.02443,,,,,
Maqen,City,stop,15, ,1,34.47546,100.23512,,,,,
Repkong,City,stop,16, ,1,35.51593,102.01813,,,,,
Xining,City,stop,17, ,1,36.61908,101.78479,,,,,
Nakchu,City,stop,18, ,1,31.47656,92.05247,Train Station,,,,
Reting,City,stop,19, ,1,30.31126,91.51314,,,,,
Drigung,City,stop,20, ,1,30.10669,92.20508,Drigung Monestary,,,,
Baji,City,other,21, ,0,29.63816,94.3624,,,,0,
Milin,City,stop,22, ,1,29.21748,94.21234,,,,,
Gyatse,City,other,22, ,0,29.14281,92.59243,,,,,
Samye,City,stop,23, ,1,29.32625,91.50213,,,,,
Lhasa,City,stop,24, ,1,29.65685,91.12852,,,,,
Golmud,City,other, , ,0,36.40682,94.90888,,,,,
Guangyuan,City,other, ,0,0,32.41794,105.76309,,,,,
Xi'an,City,other, ,0,0,34.33577,108.94147,,,,,
Sang La,City,other, , ,0,32.18054,91.71522,,,,,
Tang la,City,other, , ,0,32.86797,91.91626,,,,,
Chak La,City,other, , ,0,30.11183,91.2687,,,,,
Ganden,City,other, , ,0,29.75832,91.4755,,,,,
Gongkar,City,other, , ,0,29.29257,90.98466,,,,,
Tradruk,City,other, , ,0,29.19373,91.77242,,,,,
Chimpu,City,other, , ,0,29.38053,91.55164,,,,,
Nyangtri,City,other, , ,0,29.57467,94.48403,,,,,
Namse,City,other, , ,0,29.86178,93.66399,,,,,
Buchu,City,other, , ,0,29.48172,94.4163,,,,,
Sang Ri,City,other, , ,0,29.26059,92.01566,,,,,
Densitil Gompa,City,other, , ,0,29.30036,91.97204,,,,,
Rabjya Gompa,Monastery,other, , ,0,34.69078,100.65669,,,,,
Hua Ri,City,other, , ,0,35.11608,98.86313,,,,,
Manigango,City,other, , ,0,31.92838,99.20547,,,,,
Mato,City,other, , ,0,34.9159,98.20922,,,,,
Nangxian,City,other, , ,0,29.04811,93.07296,,,,,
Sumdo,City,other, , ,0,29.19081,100.10899,,,,,
Daocheng,City,other, , ,0,29.0412,100.29632,,,,,
Lama ya,City,other, , ,0,29.84739,99.83533,,,,,
Tsangna,City,other, , ,0,29.74601,99.79986,,,,,
Tsethang,City,other, , ,0,29.24344,91.77303,,,,,
Nang,City,other, , ,0,29.04811,93.07296,,,,,
Mendro Gongkar,City,other, , ,0,29.79274,91.4378,,,,,
Char La,City,other, , ,0,30.12541,91.25296,,,,,
Damsung?,City,other, , ,0,30.47618,91.10132,,,,,
Sershul Gompa,City,other, , ,0,33.14142,97.92404,,,,,
Sershul,Feature,other, , ,0,31.94314,98.93491,,,,,
Harpo,City,other, , ,0,31.37856,98.95396,,,,,
Shangri-la Town,City,stop, ,1,0,28.5618,100.34865,Xianggelilazhen,Riwa,0,0,
Par La,City,other,, ,0,29.82737,92.34363,,,,0,
